python,1,P,3.wav
title,1,P,3.wav
dwindle,2,V,4.wav
twinkle,2,V,4.wav
cursory,3,P,4.wav
person,3,P,4.wav
piecemeal,4,P,4.wav
teaspoon,4,P,4.wav
cult,5,P,4.wav
pulse,5,P,4.wav
bubbly,6,V,4.wav
publish,6,V,4.wav
primal,7,P,4.wav
triumph,7,P,4.wav
dreadlock,8,V,5.wav
treadmill,8,V,5.wav
delaware,9,V,5.wav
telephone,9,V,5.wav
credulous,10,P,5.wav
prejudice,10,P,5.wav
capitalize,11,P,5.wav
tapestries,11,P,5.wav
curling,12,V,5.wav
girlish,12,V,5.wav
depositors,13,V,5.wav
topography,13,V,5.wav
balloon,14,V,5.wav
pollute,14,V,5.wav
caucuses,15,P,5.wav
talkative,15,P,5.wav
talkative2,15,P,5.wav
collide,16,P,5.wav
polite,16,P,5.wav
chronic,17,P,5.wav
pronto,17,P,5.wav
carriages,18,P,5.wav
parishes,18,P,5.wav
blunt,19,V,5.wav
plunge,19,V,5.wav
biplane,20,V,5.wav
pipeline,20,V,5.wav
beneficial,21,V,5.wav
penicillin,21,V,5.wav
basement,22,V,5.wav
pacemaker,22,V,5.wav
coroner,23,P,6.wav
torrent,23,P,6.wav
carbon,24,V,6.wav
garble,24,V,6.wav
prodigious,25,P,6.wav
tradition,25,P,6.wav
bassinet,26,V,6.wav
passenger,26,V,6.wav
barricade,27,V,6.wav
parakeet,27,V,6.wav
cordial,28,V,6.wav
gorgeous,28,V,6.wav
credibility,29,P,6.wav
predilection,29,P,6.wav
coastline,30,V,7.wav
ghostlike,30,V,7.wav
cantaloupe,31,P,7.wav
tantalize,31,P,7.wav
potent,32,P,3.wav
total,32,P,3.wav
direct,33,V,4.wav
tirade,33,V,4.wav
casino,34,P,4.wav
passive,34,P,4.wav
crash,35,V,4.wav
grasp,35,V,4.wav
democratic,36,V,4.wav
temporary,36,V,4.wav
clattering,37,P,4.wav
platinum,37,P,4.wav
chemically,38,P,4.wav
temperature,38,P,4.wav
baritone,39,V,5.wav
paratroop,39,V,5.wav
provincial,40,P,5.wav
traversing,40,P,5.wav
cabanas,41,P,5.wav
tobacco,41,P,5.wav
palate,42,P,5.wav
talent,42,P,5.wav
profile,43,P,5.wav
trophy,43,P,5.wav
promenade,44,P,5.wav
trombone,44,P,5.wav
pyramid,45,P,5.wav
tyranny,45,P,5.wav
primarily,46,P,6.wav
trimester,46,P,6.wav
droppings,47,V,6.wav
tropical,47,V,6.wav
delegate,48,V,6.wav
telegraph,48,V,6.wav
blending,49,V,6.wav
plenty,49,V,6.wav
pantomime,50,P,7.wav
tantamount,50,P,7.wav
cortical,51,P,7.wav
portico,51,P,7.wav
permanent,52,P,7.wav
terminal,52,P,7.wav
commodity,53,P,4.wav
tomorrow,53,P,4.wav
badger,54,V,4.wav
pageant,54,V,4.wav
percolate,55,P,4.wav
turkey,55,P,4.wav
crochet,56,V,4.wav
grotesque,56,V,4.wav
bazaar,57,V,4.wav
position,57,V,4.wav
choir,58,P,4.wav
twilight,58,P,4.wav
decades,59,V,4.wav
technician,59,V,4.wav
conscience,60,P,4.wav
poncho,60,P,4.wav
chronology,61,P,5.wav
pronounce,61,P,5.wav
cadaver,62,P,5.wav
pedantic,62,P,5.wav
crocodile,63,P,5.wav
proxy,63,P,5.wav
criminal,64,V,6.wav
grimace,64,V,6.wav
dental,65,V,6.wav
tentacle,65,V,6.wav
brevity,66,V,6.wav
prevalence,66,V,6.wav
catastrophe,67,P,6.wav
potassium,67,P,6.wav
colleague,68,P,5.wav
polyester,68,P,5.wav
ketchup,69,P,5.wav
petulant,69,P,5.wav
crucific,70,V,6.wav
gruesome,70,V,6.wav
